main_id,otype_txt,ra,dec,z,radvel,Vmag,dist_pc,name,long
NGC   247,LSB,11.785641666666669,-20.760400000000004,0.000531,159.0,9.1,3590000,NGC   247,Low Surface Brightness Galaxy
IC  127,GiG,22.44832916666667,-6.980058333333333,0.006244,1866.16,9.2,26850000,IC  127,Galaxy in Group of Galaxies
M  77,GiP,40.66987916666667,-0.0132888888888887,0.00381,1139.9,8.87,14694062,M  77,Galaxy in Pair of Galaxies
M  74,G,24.17405,15.783461111111112,0.002194,657.0,9.46,9887820,M  74,Galaxy
M  33,GiG,23.4621,30.659941666666665,-0.000598,-179.2,5.72,1287500,M  33 | Triangulum Galaxy,Galaxy in Group of Galaxies
NGC  7331,LIN,339.2670916666666,34.41591944444445,0.002716,813.0,9.48,14378110,NGC  7331,LINER-type Active Galaxy Nucleus
M  31,G,10.684708333333331,41.26875,-0.001,-300.0,3.44,770818,M  31 | Andromeda Galaxy,Galaxy
M 110,GiG,10.091893563515798,41.68541563746161,-0.00082,-246.0,8.07,1257142,M 110,Galaxy in Group of Galaxies
NGC  2905,H2G,143.04212916666668,21.500830555555552,0.00186,557.0,9.07,8810000,NGC  2905,HII Galaxy
NGC  2997,GiG,146.411474145643,-31.1909325077113,0.003611,1080.7,9.41,10350000,NGC  2997,Galaxy in Group of Galaxies
NGC  3344,EmG,160.8797916666667,24.92221944444444,0.001963,588.0,9.86,7748571,NGC  3344,Emission-line galaxy
M  96,GiP,161.6906,11.819938888888888,0.002983,893.0,9.25,11122222,M  96,Galaxy in Pair of Galaxies
M 105,LIN,161.95666666666668,12.581630555555552,0.002922,874.71,9.76,11351428,M 105,LINER-type Active Galaxy Nucleus
M  95,GiP,160.99038220833333,11.703785388888887,0.002595,777.0,9.73,9218964,M  95,Galaxy in Pair of Galaxies
NGC  3521,LSB,166.45236508585023,-0.03589671016,0.002663,797.2,9.02,9966178,NGC  3521,Low Surface Brightness Galaxy
M  66,GiP,170.06260833333337,12.991288888888889,0.002391,716.0,8.92,9062150,M  66,Galaxy in Pair of Galaxies
NGC  3628,GiP,170.07090833333334,13.58948888888889,0.002819,844.0,9.48,10242700,NGC  3628,Galaxy in Pair of Galaxies
NGC  3621,AGN,169.56791666666666,-32.8126,0.002437,729.8,9.56,6680880,NGC  3621,Active Galaxy Nucleus
ESO 439-24,G,175.2799375,-28.70085833333333,0.0286,8451.5,8.9,Unknown,ESO 439-24,Galaxy
NGC  3923,GiG,177.75742916666667,-28.806211111111114,0.005767,1723.92,9.8,23825000,NGC  3923,Galaxy in Group of Galaxies
NGC  4228,SBG,183.913225,36.326888888888895,0.000978,293.0,9.93,3114750,NGC  4228,Starburst Galaxy
M  99,H2G,184.70677083333337,14.416488888888884,0.008051,2404.0,9.87,18342045,M  99 | Virgo Cluster Pinwheel,HII Galaxy
M  61,Sy2,185.4788646454377,4.473774537722,0.005237,1566.0,9.65,16350000,M  61,Seyfert 2 Galaxy
NGC  4449,EmG,187.046325,44.09355833333332,0.00068,203.79,9.64,4000828,NGC  4449,Emission-line galaxy
NGC  4490,GiP,187.65153333333333,41.64363055555556,0.001965,588.42,9.79,8692500,NGC  4490,Galaxy in Pair of Galaxies
NGC  4494,GiP,187.85014166666664,25.77498055555555,0.004406,1317.98,9.74,18198928,NGC  4494,Galaxy in Pair of Galaxies
M 100,AGN,185.72888285452265,15.822303972822995,0.005251,1570.0,9.35,16762009,M 100,Active Galaxy Nucleus
M  86,GiG,186.549225,12.945969444444444,-0.001007,-302.0,8.9,17413750,M  86 | FAUST V051,Galaxy in Group of Galaxies
M  87,BiC,187.70593075958328,12.391123293916666,0.0042,1256.48,8.63,17616250,M  87 | Virgo Galaxy (SMOKING GUN),Brightest galaxy in a Cluster (BCG)
NGC  4631,GiP,190.5333708333333,32.541511111111106,0.00205,614.0,9.19,7262500,NGC  4631 | Whale Galaxy,Galaxy in Pair of Galaxies
M  58,SyG,189.43165416666668,11.81808888888889,0.005073,1517.0,9.66,18338661,M  58,Seyfert Galaxy
M  90,Sy2,189.20756666666668,13.162869444444445,-0.000737,-221.0,9.54,15516814,M  90,Seyfert 2 Galaxy
M  89,LIN,188.91586393500003,12.55634189138889,0.000914,273.89,9.75,15708177,M  89,LINER-type Active Galaxy Nucleus
M 104,LIN,189.99763270833336,-11.623054277777776,0.003642,1090.0,8.0,13166372,M 104 | Sombrero Galaxy,LINER-type Active Galaxy Nucleus
M  94,SyG,192.72145,41.120152777777776,0.000957,286.86,8.24,4716845,M  94,Seyfert Galaxy
NGC  4753,GiG,193.0921333333333,-1.199688888888889,0.004213,1260.37,9.95,22361800,NGC  4753,Galaxy in Group of Galaxies
M  64,SyG,194.18206666666663,21.68265833333333,0.001362,408.0,8.52,6494145,M  64 | Evil (Black) Eye Galaxy,Seyfert Galaxy
M  63,LIN,198.95530771987453,42.0293683550047,0.001678,502.63,8.59,8649681,M  63 | Sunflower Galaxy,LINER-type Active Galaxy Nucleus
NGC  5102,EmG,200.4900388058069,-36.630107126169,0.001548,463.6,9.65,3703333,NGC  5102,Emission-line galaxy
M  83,SBG,204.25382916666663,-29.865761111111112,0.001733,519.1,7.52,4714780,M  83 | Southern Pinwheel Galaxy,Starburst Galaxy
MCG+02-37-031,GiP,220.57116666666664,8.996508333333331,0.031442,9277.96,7.0,Unknown,MCG+02-37-031,Galaxy in Pair of Galaxies
NAME SDG,G,283.7629166666667,-30.47833333333333,0.000467,140.0,3.6,20000,SDG | Sagittarius Dwarf Galaxy,Galaxy
NGC  6822,G,296.2341625,-14.79758055555556,-0.00019,-57.0,8.1,505216,NGC  6822 | Barnard's Galaxy,Galaxy
NGC  1269,GiG,49.32749999999999,-41.108069444444446,0.002796,837.1,8.81,10188333,NGC  1269,Galaxy in Group of Galaxies
NGC  1433,GiG,55.50647083333334,-47.22208055555556,0.00359,1074.2,9.99,12950000,NGC  1433,Galaxy in Group of Galaxies
NGC  1549,GiP,63.93842916666666,-55.59236111111112,0.004093,1224.54,9.79,17081250,NGC  1549,Galaxy in Pair of Galaxies
NGC  1553,GiP,64.0436298493903,-55.78002979520739,0.004026,1204.53,9.4,15748750,NGC  1553,Galaxy in Pair of Galaxies
NGC  1566,Sy1,65.001675003773,-54.937938362261306,0.005036,1506.1,9.73,12179733,NGC  1566,Seyfert 1 Galaxy
NGC  1672,SyG,71.4273,-59.24741111111111,0.004464,1335.2,9.68,16550000,NGC  1672,Seyfert Galaxy
NAME LMC,G,80.89416666666666,-69.75611111111111,0.000875,262.2,0.4,50000,LMC | Large Magellanic Cloud,Galaxy
NAME SMC,G,13.158333333333331,-72.80027777777777,0.000486,145.6,2.2,59959,SMC | Small Magellanic Cloud,Galaxy
NAME Circinus Galaxy,Sy2,213.291275,-65.33901944444445,0.001449,434.1,9.84,4651825,Circinus Galaxy,Seyfert 2 Galaxy
NAME Centaurus A,Sy2,201.3650628793333,-43.01911266736112,0.001826,547.0,6.84,4462366,Centaurus A,Seyfert 2 Galaxy
NGC  6744,GiG,287.44207916666664,-63.85753888888888,0.0028,838.3,8.25,8905000,NGC  6744,Galaxy in Group of Galaxies
NGC  6868,GiP,302.4753416666667,-48.37951388888889,0.009427,2812.82,9.22,33098571,NGC  6868,Galaxy in Pair of Galaxies
NGC  1407,GiG,55.0496,-18.580377777777773,0.005952,1779.0,9.67,24963333,NGC  1407,Galaxy in Group of Galaxies
