hip,ra,dec,Vmag,plx,period,SpType,main_id,NAME,rgb,otype_txt,oid,temp
981,3.03370206,53.62388777,6.87,9.42,,F0,HD    761,,"rgb(233,237,255)",**,80625,7712
983,3.04160825,-17.93827767,5.29,5.33,,K4III,HD    787,,"rgb(254,203,154)",PM*,1295575,3826
1009,3.14235425,44.70719512,6.5,6.3,,K0,HD    800,,"rgb(255,220,186)",PM*,1588834,4488
1026,3.20017906,46.09540496,6.63,18.06,,F2,HD    818,,"rgb(245,242,252)",PM*,7207,6869
1030,3.20935326,37.69365645,6.71,1.21,,B2V,HD    829,,"rgb(191,211,254)",Pu*,1544627,11849
1046,3.26632082,-22.47017326,6.66,6.07,,G8/K0III,HD    877,,"rgb(255,227,201)",*,1277281,4838
1057,3.28959755,16.92145623,6.52,7.17,,K1III,HD    874,,"rgb(255,223,192)",PM*,1461945,4625
1063,3.30304253,62.04087815,6.63,8.55,,Am...,HD    861,,"rgb(229,235,255)",SB*,164209,7967
1067,3.30897012,15.1835959,2.83,9.79,0.15,B2IV,* gam Peg,Algenib,"rgb(185,207,255)",bC*,1450034,13348
1074,3.33175776,-84.99397839,5.78,4.0,,M0/M1III,HD   1032,,"rgb(253,194,136)",V*,3273895,3502
1076,3.34967881,26.98754547,6.24,8.08,,G0III,HD    895,,"rgb(255,239,229)",**,1492819,5670
1086,3.37850157,41.03536964,5.71,28.57,,F0IV,* 23 And,,"rgb(240,240,255)",PM*,1555565,7270
1096,3.42602016,-26.02234535,5.94,3.22,,K5III,HD    942,,"rgb(254,200,149)",PM*,1257201,3722
1099,3.4349061,-26.28495899,6.14,4.23,,K4III,HD    943,,"rgb(254,202,153)",*,1257202,3808
1101,3.43786611,-48.68418722,6.97,9.78,,A5IV,HD    957,,"rgb(223,231,255)",*,3262602,8321
1102,3.43957713,-23.21478375,6.86,6.48,,K1IIICNIV,HD    941,,"rgb(255,220,188)",PM*,1277284,4523
1107,3.44823143,1.38358589,6.79,2.79,,K0,HD    940,,"rgb(254,213,173)",*,1388139,4199
1118,3.4841418,59.99931868,6.91,3.11,,G8II,HD    936,,"rgb(255,219,186)",*,129168,4471
1123,3.50950466,33.20603919,6.22,11.13,,A1V,HD    952,,"rgb(202,218,253)",*,1512111,10014
1126,3.51736898,-74.91200177,6.97,2.4,,K2III,HD   1025,,"rgb(254,209,166)",PM*,3275009,4049
1133,3.53762406,26.2587976,7.0,9.36,,F7IV,HD    976,,"rgb(252,243,243)",PM*,1492882,6238
1140,3.56128143,-55.0696617,6.66,21.62,,F5IV/V,HD 1004,,"rgb(249,243,248)",*,3281496,6566
1146,3.58673068,-62.77195152,6.63,2.53,,M1III,V* CR Tuc,,"rgb(253,194,137)",LP*,3280846,3519
1147,3.58666748,-21.19696207,6.89,18.19,,F7V,HD   1000,,"rgb(251,243,245)",PM*,1286867,6379
1158,3.61511753,-7.7805321,5.13,5.21,,M3IIIvar,V* AD Cet,,"rgb(253,198,145)",LP?,1344980,3647
1161,3.61676102,-14.43178506,6.95,12.17,,F5V,HD   1015,,"rgb(250,243,246)",PM*,1304591,6416
1164,3.64056888,41.03264235,6.68,4.48,,K0,HD    995,,"rgb(255,217,181)",PM*,1555593,4364
1168,3.65068528,20.20670177,4.79,10.01,,M2III,* chi Peg,,"rgb(253,199,147)",PM*,1474383,3688
1170,3.66006652,-18.93286561,4.44,6.62,,M1III,*   7 Cet,,"rgb(253,196,142)",LP?,1295641,3594
1176,3.66859618,-14.80523972,6.63,7.76,,G8III/IV,HD   1037,,"rgb(255,224,194)",PM*,1304592,4671
1185,3.70087305,-14.17769899,6.82,11.33,,A7III,HD   1051,,"rgb(232,237,255)",PM*,8446190,7746
1191,3.72714477,-9.56957107,5.77,9.4,,B9V,HD   1064,,"rgb(194,213,254)",*,1328042,11310
1192,3.73234416,-3.0274124,6.64,4.57,,M0,HD   1063,,"rgb(254,202,153)",PM*,1355359,3795
1193,3.73291262,22.28422511,6.25,9.18,,A1p,HD   1048,,"rgb(201,217,253)",*,1474350,10175
1195,3.74275886,-34.90422288,6.17,4.41,,K3III,HD   1089,,"rgb(254,209,166)",PM*,1209218,4044
1196,3.74516393,8.82096213,6.02,12.47,,F0IV,*  35 Psc,,"rgb(238,240,255)",SB*,1423315,7386
1208,3.77895988,31.53572466,6.34,2.47,,K5,HD   1075,,"rgb(254,200,148)",*,1512140,3712
1215,3.79401779,27.28343979,6.35,7.92,,A1Vn,HD   1083,,"rgb(201,217,253)",*,1492855,10150
1233,3.82430324,44.20339681,6.76,4.05,5.54,B9,V* V348 And,,"rgb(197,214,253)",EB*,1588875,10737
1249,3.91094493,5.84384718,6.98,3.45,,K0,HD   1133,,"rgb(255,218,183)",*,1413770,4407
1269,3.97852674,61.00017237,6.43,5.76,,G8III...,HD   1142,,"rgb(255,233,213)",*,129095,5168
1268,3.97872374,-75.9116153,6.49,4.63,,G8/K0III,HD 1221,,"rgb(255,226,199)",*,3274661,4783
1288,4.03694261,-31.4463941,5.66,7.64,,K2III,HD   1187,,"rgb(254,208,165)",PM*,1224527,4034
1292,4.05282292,-79.85118159,6.59,56.76,,G6V,HD   1237,,"rgb(255,237,222)",PM*,3274437,5439
1296,4.05806563,76.95075506,6.35,5.28,,B9Vn,HD   1141,,"rgb(197,215,253)",**,266183,10709
1302,4.08970517,43.59504921,6.12,10.75,,A2V,HD   1185,,"rgb(209,222,255)",*,1588885,9349
1319,4.14183649,8.24015427,6.12,7.38,,G8II-III,*  36 Psc,,"rgb(255,229,205)",**,1413845,4946
1325,4.16426196,1.85060694,6.98,3.31,,M5III,V* BV Psc,,"rgb(253,198,145)",LP*,1388202,3649
1330,4.17526754,-32.68843529,6.67,5.89,,K0III,HD   1259,,"rgb(255,221,190)",*,1224546,4565
1331,4.17643017,-20.21006086,6.5,5.33,,B6III/IV,HD   1256,,"rgb(192,211,254)",V*,1286870,11709
1333,4.17927056,36.62981249,6.99,7.18,,A0,HD   1223,,"rgb(207,221,254)",**,1544606,9541
1339,4.19032459,10.24477797,6.51,0.95,,M2III:,HD   1255,,"rgb(253,188,125)",V*,1423309,3317
1342,4.20157391,-78.78015363,6.78,9.06,,F3III,HD   1324,,"rgb(248,243,249)",PM*,3274413,6619
1349,4.22456152,-52.65114872,6.84,43.45,,G2V,HD   1273,,"rgb(255,240,232)",SB*,3262421,5760
1352,4.22482428,49.46191488,6.52,1.42,,M0,HD   1240,,"rgb(253,192,132)",V*,21945,3421
1353,4.22916178,23.25619334,6.95,7.17,,K0III-IV,HD   1254,,"rgb(255,222,191)",*,1483223,4603
1354,4.23768117,61.53318556,5.74,5.08,,G8III,HD   1239,,"rgb(255,230,207)",*,129099,5001
1366,4.27290947,38.68163564,4.61,12.88,,A2V,* tet And,,"rgb(208,222,254)",**,1544647,9444
1372,4.28768216,47.9474053,5.86,3.42,,B7III,HD   1279,,"rgb(194,213,254)",*,21927,11231
1392,4.35228283,8.87651746,6.66,15.31,,F5,* 38 Psc,,"rgb(254,242,238)",**,1423322,6010
1402,4.38626266,-19.05109159,6.46,20.47,,F3V,HD   1343,,"rgb(244,242,253)",*,1295644,6955
1415,4.42942381,51.43309028,6.11,0.57,3.52,O9IIInn,V* AO Cas,,"rgb(188,209,255)",SB*,44692,12508
1421,4.44874114,1.68872709,6.19,9.89,,K0II,HD   1367,,"rgb(255,228,203)",PM*,1388215,4899
1429,4.46350506,20.22699418,6.91,1.68,,M4II-III,V* BW Psc,,"rgb(253,199,146)",LP*,1474385,3669
1439,4.48460751,12.77146612,6.54,7.14,,G8II,HD   1375,,"rgb(255,226,200)",*,1434917,4815
1444,4.49529558,-13.45564033,6.51,38.24,,G2V,HD   1388,,"rgb(254,242,237)",PM*,1314849,5971
1456,4.53840084,46.21431265,6.83,5.31,,K0,HD   1374,,"rgb(254,210,168)",*,7125,4087
1464,4.57061646,-21.1384598,6.69,4.29,,B9/B9.5IV,HD   1431,,"rgb(201,217,253)",**,1286872,10226
1465,4.5718574,11.20621385,6.07,7.28,,K0III,HD   1419,,"rgb(255,223,194)",*,1423294,4657
1469,4.57678643,-36.5098839,6.67,4.58,,K2III,HD   1434,,"rgb(254,210,169)",*,1195760,4114
1473,4.5819037,36.78522405,4.51,23.11,,A2V,* sig And,,"rgb(207,221,254)",**,1544841,9498
1486,4.61991838,62.20277496,6.97,3.08,,K7Iab:,HD   1400,,"rgb(254,201,151)",*,164423,3763
1493,4.65940621,31.51722681,5.88,6.0,,A0IV,HD   1439,,"rgb(200,216,253)",PM*,1512144,10303
1499,4.67444862,-8.05300142,6.47,42.67,,G0V,HD   1461,,"rgb(255,239,230)",PM*,1344984,5692
1501,4.67570361,43.7911412,6.1,4.71,,B8V,*  26 And,,"rgb(194,213,254)",*,1588889,11153
1502,4.67734231,-43.23557065,6.33,8.56,,K2III,HD   1483,,"rgb(255,215,177)",*,1152229,4289
1562,4.8569773,-8.82392145,3.56,11.26,,K2III,* iot Cet,,"rgb(255,215,177)",*,1328032,4281
1575,4.92316566,40.72946069,6.35,6.03,,K1III,HD   1527,,"rgb(255,216,180)",*,1555608,4350
1587,4.96197947,-2.47888328,6.96,8.61,,G5,HD   1567,,"rgb(255,232,212)",*,1368850,5140
1595,4.98448197,16.25087103,6.6,5.9,,K0,*  40 Psc,,"rgb(255,226,199)",*,1450232,4793
1598,5.0017023,38.22739687,6.97,40.25,,G0,HD 1562,,"rgb(255,241,233)",PM*,1544662,5815
1599,5.01775052,-64.87479041,4.23,116.38,,F9V,* zet Tuc,,"rgb(253,242,239)",PM*,3280716,6063
1600,5.01230423,-17.70043356,6.73,4.09,,K1III/IV,HD   1588,,"rgb(255,213,174)",*,1295623,4214
1602,5.02109822,6.29264823,6.81,1.65,,K0,HD   1585,,"rgb(254,201,150)",*,1413866,3746
1603,5.02152617,48.86544902,6.53,3.69,,A0Vs,HD   1561,,"rgb(207,221,254)",*,21951,9530
1611,5.04396835,-13.06146223,6.85,8.21,,G8III,HD   1594,,"rgb(255,224,194)",PM*,1314845,4676
1630,5.10167651,30.93561358,5.89,5.6,,B7V,HD   1606,,"rgb(192,212,254)",V*,1512066,11539
1639,5.1288706,48.96863284,6.46,3.43,,G0,HD   1601,,"rgb(253,242,240)",*,21955,6112
1642,5.13750816,45.50892746,7.0,9.2,,F5,HD   1614,,"rgb(253,242,240)",**,7137,6116
1644,5.14233794,56.556923,6.73,5.12,,G5,HD   1598,,"rgb(255,234,216)",*,105781,5229
1645,5.1494233,8.19027134,5.38,8.26,,K3III,* d Psc,,"rgb(254,209,166)",V*,1413849,4046
1647,5.16265059,-69.6249131,5.5,10.65,,B9V,* pi. Tuc,,"rgb(197,214,253)",*,3280471,10737
1652,5.18150364,61.87959532,6.8,0.49,,M2II:,HD   1613,,"rgb(254,183,115)",s*r,164215,3148
1657,5.18965919,32.91118651,5.79,5.05,,K5III,HD   1632,,"rgb(253,198,145)",*,1512121,3655
1660,5.20241466,-23.63022298,6.78,6.42,,F0IV,HD   1667,,"rgb(238,239,255)",*,1277332,7392
1669,5.22552106,32.97800554,6.9,14.0,,F5,HD 1641,,"rgb(250,243,247)",**,1512122,6490
1670,5.22746381,10.9769012,6.57,5.22,,A0V,HD   1663,,"rgb(208,221,254)",**,1423298,9476
